0.7 2
0.7 131
0.7 2
0.7 40
0.7 40
0.7 2
0.7 14
0.7 32
0.7 92
0.7 2
0.7 41
0.7 337
0.7 2
0.7 64
0.7 52
0.7 2
0.7 2
0.7 2
0.7 22
0.7 61
0.7 23
0.7 4
0.7 24
0.7 62
0.7 3
0.7 2
0.7 188
0.7 45
0.7 156
0.7 2
0.7 24
0.7 18
0.7 86
0.7 23
0.7 129
0.7 167
0.7 11
0.7 2
0.7 60
0.7 109
0.7 2
0.7 43
0.7 2
0.7 77
0.7 7
0.7 222
0.7 27
0.7 143
0.7 2
0.7 37
0.7 254
0.7 47
0.7 25
0.7 48
0.7 70
0.7 2
0.7 68
0.7 62
0.7 74
0.7 50
0.7 2
0.7 130
0.7 2
0.7 26
0.7 23
0.7 27
0.7 8
0.7 28
0.7 188
0.7 171
0.7 23
0.7 16
0.7 42
0.7 23
0.7 40
0.7 13
0.7 14
0.7 65
0.7 107
0.7 206
0.7 18
0.7 20
0.7 48
0.7 74
0.7 2
0.7 13
0.7 2
0.7 2
0.7 75
0.7 37
0.7 3
0.7 62
0.7 94
0.7 2
0.7 39
0.7 57
0.7 146
0.7 64
0.7 19
0.7 51
0.7 2
0.7 18
0.7 2
0.7 227
0.7 83
0.7 300
0.7 81
0.7 150
0.7 2
0.7 13
0.7 22
0.7 24
0.7 330
0.7 113
0.7 168
0.7 32
0.7 25
0.7 32
0.7 31
0.7 107
0.7 2
0.7 110
0.7 36
0.7 28
0.7 483
0.7 25
0.7 63
0.7 27
0.7 2
0.7 87
0.7 5
0.7 7
0.7 101
0.7 122
0.7 2
0.7 22
0.7 64
0.7 50
0.7 22
0.7 100
0.7 66
0.7 41
0.7 25
0.7 24
0.1 520
0.2 2
0.3 2
0.4 2
0.5 3
0.6 113
0.7 71
0.8 14
0.9 5
